Day,Len,State,Dem,GOP,Ind,Date,Pollster
114.5,6,Pennsylvania,49,43,,Apr-26,Harper Polling-6
111.5,2,Pennsylvania,51,44,,Apr-21,PPP-2
110.5,4,Pennsylvania,50,42,,Apr-21,Fox News-4
108.5,6,Pennsylvania,46,40,,Apr-20,Ipsos-6
81,9,Pennsylvania,45,46,,Mar-25,Baldwin Wallace U.-9
67,3,Pennsylvania,46,40,,Mar-08,YouGov-3
47,9,Pennsylvania,47,47,,Feb-20,Muhlenberg Coll.-9
46.5,10,Pennsylvania,46,45,,Feb-20,YouGov-10
46,7,Pennsylvania,50,42,,Feb-18,Quinnipiac U.-7
43,13,Pennsylvania,47,42,,Feb-18,Expedition Strategies-13
2,1,Rhode Island,55,40,,Jan-02,Election 2016-1
269,5,South Carolina,47,48,,Sep-27,Quinnipiac U.-5
267.5,4,South Carolina,42,52,,Sep-25,YouGov-4
259.5,10,South Carolina,44,50,,Sep-20,Morning Consult-10
256,5,South Carolina,45,51,,Sep-14,Quinnipiac U.-5
214,5,South Carolina,42,47,,Aug-03,Quinnipiac U.-5
210.5,10,South Carolina,44,49,,Aug-02,Morning Consult-10
145.5,4,South Carolina,42,52,,May-26,Civiqs-4
60.5,4,South Carolina,48,52,,Mar-02,Emerson Coll.-4
57.5,4,South Carolina,42,48,,Feb-28,AtlasIntel-4
32,3,South Carolina,40,52,,Feb-02,East Carolina U.-3
2,1,South Dakota,32,62,,Jan-02,Election 2016-1
134.5,18,Tennessee,42,51,,May-22,SSRS-18
117.5,10,Tennessee,36,53,,May-01,East Tennessee State U.-10
29,3,Tennessee,39,55,,Jan-30,Mason-Dixon-3
269.5,2,Texas,48,48,,Sep-26,PPP-2
265.5,8,Texas,46,50,,Sep-25,U. of Mass.-8
263,5,Texas,45,50,,Sep-21,Quinnipiac U.-5
263,7,Texas,43,46,,Sep-22,Siena Coll.-7
260.5,4,Texas,46,48,,Sep-18,YouGov-4
245.5,2,Texas,47,48,,Sep-02,PPP-2
243.5,6,Texas,46,48,,Sep-02,U. of Texas-6
238.5,10,Texas,47,48,,Aug-30,Morning Consult-10
234.5,2,Texas,48,47,,Aug-22,PPP-2
221.5,10,Texas,41,48,,Aug-13,YouGov-10
210.5,10,Texas,47,46,,Aug-02,Morning Consult-10
203.5,10,Texas,47,45,,Jul-26,Morning Consult-10
200,5,Texas,45,44,,Jul-20,Quinnipiac U.-5
190.5,4,Texas,45,46,,Jul-10,YouGov-4
185,9,Texas,48,43,,Jul-07,U. of Texas-9
176.5,2,Texas,48,46,,Jun-25,PPP-2
176,11,Texas,44,48,,Jun-29,YouGov-11
173.5,4,Texas,45,44,,Jun-23,Fox News-4
170.5,2,Texas,46,48,,Jun-19,PPP-2
155.5,2,Texas,48,48,,Jun-04,PPP-2
151,5,Texas,43,44,,Jun-01,Quinnipiac U.-5
130,3,Texas,48,52,,May-10,Emerson Coll.-3
118.5,2,Texas,47,46,,Apr-28,PPP-2
113.5,10,Texas,43,43,,Apr-27,U. of Texas-10
105.5,10,Texas,44,49,,Apr-19,YouGov-10
58.5,8,Texas,43,47,,Mar-02,AtlasIntel-8
56,5,Texas,45,49,,Feb-27,Marist Coll.-5
55,5,Texas,48,47,,Feb-26,SSRS-5
52.5,10,Texas,44,45,,Feb-26,U. of Texas-10
35.5,10,Texas,43,47,,Feb-09,YouGov-10
25.5,10,Texas,44,46,,Jan-30,U. of Texas-10
18.5,6,Texas,40,54,,Jan-21,Data for Progress-6
14.5,10,Texas,46,51,,Jan-19,Texas Lyceum-10
253.5,6,Utah,35,53,,Sep-12,RMG Research-6
211.5,6,Utah,31,50,,Aug-01,RMG Research-6
133,7,Utah,41,44,,May-15,Y2 Analytics-7
85.5,10,Utah,41,46,,Mar-30,Y2 Analytics-10
18.5,8,Utah,31,49,,Jan-22,RMG Research-8
253,13,Vermont,56,32,,Sep-15,Braun Research-13
259,13,Virginia,48,43,,Sep-21,Christopher Newport U.-13
246,11,Virginia,53,39,,Sep-07,Virginia Commonwealth U.-11
228.5,14,Virginia,53,39,,Aug-22,Roanoke Coll.-14
203.5,10,Virginia,52,41,,Jul-26,Morning Consult-10
197,9,Virginia,50,39,,Jul-19,Virginia Commonwealth U.-9
130.5,14,Virginia,51,39,,May-16,Roanoke Coll.-14
92,15,Virginia,51,41,,Apr-08,Virginia Commonwealth U.-15
57.5,4,Virginia,45,38,,Feb-28,Hampton University-4
44.5,10,Virginia,48,40,,Feb-18,Roanoke Coll.-10
255,7,Washington,58,36,,Sep-14,Strategies 360-7
206.5,6,Washington,62,28,,Jul-27,SurveyUSA-6
140.5,2,Washington,59,37,,May-20,PPP-2
138.5,4,Washington,57,31,,May-19,SurveyUSA-4
94,7,Washington,52,39,,Apr-06,EMC Research-7
65,3,Washington,57,34,,Mar-06,SurveyUSA-3
2,1,West Virginia,27,69,,Jan-02,Election 2016-1
269,5,Wisconsin,48,43,,Sep-27,Redfield and Wilton Strategies-5
266,5,Wisconsin,54,44,,Sep-24,Marist Coll.-5
259.5,12,Wisconsin,50,46,,Sep-21,YouGov-12
259,15,Wisconsin,50,41,,Sep-22,Baldwin Wallace U.-15
258,5,Wisconsin,47,41,,Sep-16,Redfield and Wilton Strategies-5
257.5,6,Wisconsin,48,43,,Sep-16,Ipsos-6
257,5,Wisconsin,51,44,,Sep-15,Civiqs-5
255,5,Wisconsin,52,42,,Sep-13,SSRS-5
254.5,6,Wisconsin,52,46,,Sep-13,Langer Research-6
253,3,Wisconsin,48,43,,Sep-10,Siena Coll.-3
251,3,Wisconsin,51,44,,Sep-08,Emerson Coll.-3
249.5,10,Wisconsin,50,43,,Sep-10,Morning Consult-10
247,3,Wisconsin,50,44,,Sep-04,YouGov-3
246.5,12,Wisconsin,50,45,,Sep-08,Benenson Strategy/GS Strategy-12
245.5,2,Wisconsin,51,43,,Sep-02,Pulse Opinion Research-2
245.5,6,Wisconsin,50,41,,Sep-04,Redfield and Wilton Strategies-6
245,5,Wisconsin,48,44,,Sep-03,Marquette Law School-5
243.5,4,Wisconsin,50,42,,Sep-01,Fox News-4
238.5,10,Wisconsin,52,43,,Aug-30,Morning Consult-10
237.5,8,Wisconsin,53,40,,Aug-28,Opinium-8
230.5,4,Wisconsin,49,39,,Aug-19,Redfield and Wilton Strategies-4
228,5,Wisconsin,51,45,,Aug-17,Civiqs-5
224.5,10,Wisconsin,49,43,,Aug-16,Morning Consult-10
219.5,6,Wisconsin,50,46,,Aug-09,Marquette Law School-6
218.5,2,Wisconsin,55,43,,Aug-06,Pulse Opinion Research-2
218.5,4,Wisconsin,48,42,,Aug-07,YouGov-4
203.5,6,Wisconsin,45,35,,Jul-24,Redfield and Wilton Strategies-6
203.5,10,Wisconsin,50,43,,Jul-26,Morning Consult-10
168.5,6,Wisconsin,45,36,,Jun-19,Redfield and Wilton Strategies-6
168,5,Wisconsin,51,42,,Jun-18,Marquette Law School-5
163.5,8,Wisconsin,49,38,,Jun-15,Siena Coll.-8
152.5,4,Wisconsin,49,40,,Jun-02,Fox News-4
133,5,Wisconsin,48,38,,May-14,Redfield and Wilton Strategies-5
126,5,Wisconsin,46,43,,May-07,Marquette Law School-5
111.5,2,Wisconsin,50,45,,Apr-21,PPP-2
108.5,6,Wisconsin,43,40,,Apr-20,Ipsos-6
86.5,6,Wisconsin,48,45,,Mar-29,Marquette Law School-6
81,9,Wisconsin,45,45,,Mar-25,Baldwin Wallace U.-9
70.5,2,Wisconsin,48,45,,Mar-11,PPP-2
67,3,Wisconsin,44,42,,Mar-08,YouGov-3
52,5,Wisconsin,46,46,,Feb-23,Marquette Law School-5
46.5,10,Wisconsin,45,43,,Feb-20,YouGov-10
46,7,Wisconsin,42,49,,Feb-18,Quinnipiac U.-7
43,13,Wisconsin,42,44,,Feb-18,Expedition Strategies-13
10,5,Wisconsin,49,45,,Jan-12,Marquette Law School-5
6.5,4,Wisconsin,46,41,,Jan-08,Fox News-4
2,1,Wyoming,23,70,,Jan-02,Election 2016-1
